SIO2(WT%),AL2O3(WT%),FEOT(WT%),MGO(WT%),CAO(WT%),NA2O(WT%),K2O(WT%),TIO2(WT%),CR2O3(WT%)
53.46,14.45,8.08,10.73,10.57,1.9,0.36,0.29,0
53.5,13.32,8.14,12.03,10.7,1.6,0.2,0.28,0
53.56,12.96,8.29,12.7,10.2,1.56,0.23,0.28,0
53.63,12.07,8.65,13.49,9.34,1.78,0.61,0.24,0
53.97,14.81,8.09,11.46,9.77,1.16,0.27,0.3,0
54,12.19,7.95,12.69,10.31,1.8,0.59,0.25,0
54.44,12.74,8.06,12.67,9.15,2.07,0.35,0.25,0
55.62,13.31,7.98,12.91,8.12,1.2,0.27,0.15,0
55.67,12.25,8.92,10.29,10.2,1.81,0.37,0.27,0
55.7,13.33,8,12.93,8.14,1.22,0.28,0.15,0
55.84,12.54,8.64,10.15,10.28,1.68,0.37,0.29,0
55.86,12.25,8.7,10.66,10.03,1.69,0.34,0.27,0
56.19,12.52,7.24,9.7,11.91,1.53,0.62,0.15,0
56.51,14.27,7.76,12.02,7.47,1.33,0.33,0.16,0
56.61,13.28,7.63,11.3,7.88,2.4,0.36,0.21,0
57.15,11.02,8.75,13.28,7.65,1.46,0.4,0.14,0
57.99,11.1,8.5,11.96,8.02,1.76,0.4,0.11,0
58.09,11.17,8.65,12.01,7.22,2.06,0.54,0.11,0
58.16,10.48,8.91,12.56,8.03,1.2,0.41,0.11,0
58.34,10.64,9,12.24,7.41,1.6,0.47,0.14,0
58.37,11,8.66,12.17,7.9,1.29,0.34,0.11,0
58.43,11.71,8.44,11.43,7.57,1.65,0.45,0.17,0
58.47,13.37,8.27,9.39,8.11,1.59,0.7,0.1,0
58.48,11.36,8.58,11.41,7.77,1.74,0.51,0.15,0
58.55,13.53,7.82,8.91,8.28,2.13,0.46,0.14,0
58.58,11.37,8.56,11.27,7.76,1.62,0.52,0.14,0
58.58,12.21,8.16,10.39,8,1.84,0.43,0.18,0
58.6,11.38,8.24,11.75,7.65,1.64,0.44,0.14,0
58.71,11.56,8.58,11.14,7.89,1.37,0.39,0.17,0
58.83,10.4,8.65,12.49,7.22,1.61,0.46,0.12,0
58.96,11.36,8,12.15,6.95,1.82,0.46,0.13,0
59.25,10.86,8.23,11.95,7.29,1.54,0.57,0.12,0
59.69,11.65,7.95,11.87,6.66,1.71,0.17,0.12,0
58.37,13.51,7.99,8.91,8.39,2.07,0.45,0.15,0
58.55,11.12,8.68,11.33,7.85,1.69,0.43,0.16,0
58.48,11,8.56,12.1,7.33,1.7,0.5,0.15,0
58.42,11.09,8.7,11.98,7.1,1.85,0.5,0.15,0
58.23,11.23,8.66,11.8,7.34,1.83,0.56,0.14,0
58.29,11.03,8.56,12.86,7.23,1.29,0.44,0.11,0
58.05,12,8.24,11.32,7.79,1.8,0.44,0.16,0
57.54,11.08,8.93,12.66,7.2,1.77,0.48,0.14,0
57.69,10.8,8.46,13.41,7.05,1.66,0.59,0.15,0
57.93,10.66,8.46,13.09,7.67,1.47,0.44,0.1,0
60.36,12.98,7.91,8.33,7.36,2.2,0.54,0.15,0
47.91,18.05,8.23,9.13,11.77,2.99,0.36,1.15,0
